set,method,kp1,kp2,matches_raw,matches_final,inliers,match_ms,ransac_thresh,reproj_err,overlap_err_overlay
set1,AKAZE,4134,3545,3545,1520,351,433.969,1.5,0.84498,13.2156
set1,AKAZE,4134,3545,3545,1520,752,343.63,3,1.45495,13.2113
set1,AKAZE,4134,3545,3545,1520,994,1169.46,5,2.18179,13.2692
set1,ORB,5000,5000,5000,996,366,2045.49,1.5,0.871558,13.2704
set1,ORB,5000,5000,5000,996,557,2058.97,3,1.43507,14.1508
set1,ORB,5000,5000,5000,996,712,2097.06,5,2.57351,17.9647
set2,AKAZE,23502,23511,23502,12246,9146,45787.5,1.5,0.719983,8.9692
set2,AKAZE,23502,23511,23502,12246,10543,45392.7,3,0.986025,9.25972
set2,AKAZE,23502,23511,23502,12246,12089,46254.1,5,1.28778,9.34455
set2,ORB,5000,5000,5000,1899,1162,2017.02,1.5,0.811226,9.41772
set2,ORB,5000,5000,5000,1899,1729,1742.52,3,1.18392,9.22921
set2,ORB,5000,5000,5000,1899,1854,2056.19,5,1.31836,9.04205
set3,AKAZE,20737,22488,20737,9083,5189,11048.9,1.5,0.767608,6.24925
set3,AKAZE,20737,22488,20737,9083,7603,11247.3,3,1.15905,6.05267
set3,AKAZE,20737,22488,20737,9083,8674,11117.9,5,1.43513,5.98071
set3,ORB,5000,5000,5000,1141,669,558.535,1.5,0.837982,6.69471
set3,ORB,5000,5000,5000,1141,1038,556.834,3,1.25434,6.34383
set3,ORB,5000,5000,5000,1141,1128,649.884,5,1.42773,6.11706
